Image_Num,Name,Visibility,Quality,Type,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure
1,image_0001.jpg,1,1,,,,,,,,
2,image_0002.jpg,1,1,,,,,,,,
3,image_0003.jpg,1,1,,,,,,,,
4,image_0004.jpg,1,1,,,,,,,,
5,image_0005.jpg,1,1,,,,,,,,
6,image_0006.jpg,1,1,,,,,,,,
7,image_0007.jpg,1,1,,,,,,,,
8,image_0008.jpg,1,1,,,,,,,,
9,image_0009.jpg,1,1,,,,,,,,
10,image_0010.jpg,0,1,,,,,,,,
11,image_0011.jpg,0,1,,,,,,,,
12,image_0012.jpg,0,1,,,,,,,,
13,image_0013.jpg,0,1,,,,,,,,
14,image_0014.jpg,1,1,,,,,,,,
15,image_0015.jpg,0,1,,,,,,,,
16,image_0016.jpg,0,1,,,,,,,,
17,image_0017.jpg,0,1,,,,,,,,
18,image_0018.jpg,0,1,,,,,,,,
19,image_0019.jpg,0,1,,,,,,,,
20,image_0020.jpg,0,1,,,,,,,,
21,image_0021.jpg,0,1,,,,,,,,
22,image_0022.jpg,0,1,,,,,,,,
23,image_0023.jpg,0,1,,,,,,,,
24,image_0024.jpg,0,1,,,,,,,,
25,image_0025.jpg,0,1,,,,,,,,
26,image_0026.jpg,1,1,,,,,,,,
27,image_0027.jpg,0,1,,,,,,,,
28,image_0028.jpg,0,1,,,,,,,,
29,image_0029.jpg,1,1,,,,,,,,
30,image_0030.jpg,0,1,,,,,,,,
31,image_0031.jpg,0,0,,,,,,,,
32,image_0032.jpg,0,0,,,,,,,,
33,image_0033.jpg,0,1,,,,,,,,
34,image_0034.jpg,0,1,,,,,,,,
35,image_0035.jpg,0,1,,,,,,,,
36,image_0036.jpg,0,1,,,,,,,,
37,image_0037.jpg,1,1,,,,,,,,
38,image_0038.jpg,0,1,,,,,,,,
39,image_0039.jpg,1,1,,,,,,,,
40,image_0040.jpg,1,1,,,,,,,,
41,image_0041.jpg,0,1,,,,,,,,
42,image_0042.jpg,0,1,,,,,,,,
43,image_0043.jpg,0,1,,,,,,,,
44,image_0044.jpg,0,1,,,,,,,,
45,image_0045.jpg,0,1,,,,,,,,
46,image_0046.jpg,1,1,,,,,,,,
47,image_0047.jpg,1,1,,,,,,,,
48,image_0048.jpg,0,1,,,,,,,,
49,image_0049.jpg,0,1,,,,,,,,
50,image_0050.jpg,0,1,,,,,,,,
51,image_0051.jpg,0,1,,,,,,,,
52,image_0052.jpg,1,1,,,,,,,,
53,image_0053.jpg,0,1,,,,,,,,
54,image_0054.jpg,0,1,,,,,,,,
55,image_0055.jpg,0,1,,,,,,,,
56,image_0056.jpg,1,1,,,,,,,,
57,image_0057.jpg,0,1,,,,,,,,
58,image_0058.jpg,0,1,,,,,,,,
59,image_0059.jpg,0,1,,,,,,,,
60,image_0060.jpg,0,0,,,,,,,,
61,image_0061.jpg,0,0,,,,,,,,
62,image_0062.jpg,0,1,,,,,,,,
63,image_0063.jpg,0,1,,,,,,,,
64,image_0064.jpg,0,1,,,,,,,,
65,image_0065.jpg,0,1,,,,,,,,
